Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Petal.Ratio,Sepal.Ratio
1,5.1,3.5,1.4,0.2,Iris-setosa,6.999999999999999,1.457142857142857
2,4.9,3.0,1.4,0.2,Iris-setosa,6.999999999999999,1.6333333333333335
3,4.7,3.2,1.3,0.2,Iris-setosa,6.5,1.46875
4,4.6,3.1,1.5,0.2,Iris-setosa,7.5,1.4838709677419353
5,5.0,3.6,1.4,0.2,Iris-setosa,6.999999999999999,1.3888888888888888
6,5.4,3.9,1.7,0.4,Iris-setosa,4.25,1.3846153846153848
7,4.6,3.4,1.4,0.3,Iris-setosa,4.666666666666667,1.352941176470588
8,5.0,3.4,1.5,0.2,Iris-setosa,7.5,1.4705882352941178
9,4.4,2.9,1.4,0.2,Iris-setosa,6.999999999999999,1.517241379310345
10,4.9,3.1,1.5,0.1,Iris-setosa,15.0,1.5806451612903227
11,5.4,3.7,1.5,0.2,Iris-setosa,7.5,1.4594594594594594
12,4.8,3.4,1.6,0.2,Iris-setosa,8.0,1.411764705882353
13,4.8,3.0,1.4,0.1,Iris-setosa,13.999999999999998,1.5999999999999999
14,4.3,3.0,1.1,0.1,Iris-setosa,11.0,1.4333333333333333
15,5.8,4.0,1.2,0.2,Iris-setosa,5.999999999999999,1.45
16,5.7,4.4,1.5,0.4,Iris-setosa,3.75,1.2954545454545454
17,5.4,3.9,1.3,0.4,Iris-setosa,3.25,1.3846153846153848
18,5.1,3.5,1.4,0.3,Iris-setosa,4.666666666666667,1.457142857142857
19,5.7,3.8,1.7,0.3,Iris-setosa,5.666666666666667,1.5000000000000002
20,5.1,3.8,1.5,0.3,Iris-setosa,5.0,1.3421052631578947
21,5.4,3.4,1.7,0.2,Iris-setosa,8.5,1.5882352941176472
22,5.1,3.7,1.5,0.4,Iris-setosa,3.75,1.3783783783783783
23,4.6,3.6,1.0,0.2,Iris-setosa,5.0,1.2777777777777777
24,5.1,3.3,1.7,0.5,Iris-setosa,3.4,1.5454545454545454
25,4.8,3.4,1.9,0.2,Iris-setosa,9.499999999999998,1.411764705882353
26,5.0,3.0,1.6,0.2,Iris-setosa,8.0,1.6666666666666667
27,5.0,3.4,1.6,0.4,Iris-setosa,4.0,1.4705882352941178
28,5.2,3.5,1.5,0.2,Iris-setosa,7.5,1.4857142857142858
29,5.2,3.4,1.4,0.2,Iris-setosa,6.999999999999999,1.5294117647058825
30,4.7,3.2,1.6,0.2,Iris-setosa,8.0,1.46875
31,4.8,3.1,1.6,0.2,Iris-setosa,8.0,1.5483870967741935
32,5.4,3.4,1.5,0.4,Iris-setosa,3.75,1.5882352941176472
33,5.2,4.1,1.5,0.1,Iris-setosa,15.0,1.2682926829268295
34,5.5,4.2,1.4,0.2,Iris-setosa,6.999999999999999,1.3095238095238095
35,4.9,3.1,1.5,0.2,Iris-setosa,7.5,1.5806451612903227
36,5.0,3.2,1.2,0.2,Iris-setosa,5.999999999999999,1.5625
37,5.5,3.5,1.3,0.2,Iris-setosa,6.5,1.5714285714285714
38,4.9,3.6,1.4,0.1,Iris-setosa,13.999999999999998,1.3611111111111112
39,4.4,3.0,1.3,0.2,Iris-setosa,6.5,1.4666666666666668
40,5.1,3.4,1.5,0.2,Iris-setosa,7.5,1.5
41,5.0,3.5,1.3,0.3,Iris-setosa,4.333333333333334,1.4285714285714286
42,4.5,2.3,1.3,0.3,Iris-setosa,4.333333333333334,1.956521739130435
43,4.4,3.2,1.3,0.2,Iris-setosa,6.5,1.375
44,5.0,3.5,1.6,0.6,Iris-setosa,2.666666666666667,1.4285714285714286
45,5.1,3.8,1.9,0.4,Iris-setosa,4.749999999999999,1.3421052631578947
46,4.8,3.0,1.4,0.3,Iris-setosa,4.666666666666667,1.5999999999999999
47,5.1,3.8,1.6,0.2,Iris-setosa,8.0,1.3421052631578947
48,4.6,3.2,1.4,0.2,Iris-setosa,6.999999999999999,1.4374999999999998
49,5.3,3.7,1.5,0.2,Iris-setosa,7.5,1.4324324324324322
50,5.0,3.3,1.4,0.2,Iris-setosa,6.999999999999999,1.5151515151515151
51,7.0,3.2,4.7,1.4,Iris-versicolor,3.3571428571428577,2.1875
52,6.4,3.2,4.5,1.5,Iris-versicolor,3.0,2.0
53,6.9,3.1,4.9,1.5,Iris-versicolor,3.266666666666667,2.2258064516129035
54,5.5,2.3,4.0,1.3,Iris-versicolor,3.0769230769230766,2.3913043478260874
55,6.5,2.8,4.6,1.5,Iris-versicolor,3.0666666666666664,2.3214285714285716
56,5.7,2.8,4.5,1.3,Iris-versicolor,3.4615384615384612,2.035714285714286
57,6.3,3.3,4.7,1.6,Iris-versicolor,2.9375,1.9090909090909092
58,4.9,2.4,3.3,1.0,Iris-versicolor,3.3,2.041666666666667
59,6.6,2.9,4.6,1.3,Iris-versicolor,3.538461538461538,2.2758620689655173
60,5.2,2.7,3.9,1.4,Iris-versicolor,2.785714285714286,1.9259259259259258
61,5.0,2.0,3.5,1.0,Iris-versicolor,3.5,2.5
62,5.9,3.0,4.2,1.5,Iris-versicolor,2.8000000000000003,1.9666666666666668
63,6.0,2.2,4.0,1.0,Iris-versicolor,4.0,2.727272727272727
64,6.1,2.9,4.7,1.4,Iris-versicolor,3.3571428571428577,2.103448275862069
65,5.6,2.9,3.6,1.3,Iris-versicolor,2.769230769230769,1.9310344827586206
66,6.7,3.1,4.4,1.4,Iris-versicolor,3.1428571428571432,2.161290322580645
67,5.6,3.0,4.5,1.5,Iris-versicolor,3.0,1.8666666666666665
68,5.8,2.7,4.1,1.0,Iris-versicolor,4.1,2.148148148148148
69,6.2,2.2,4.5,1.5,Iris-versicolor,3.0,2.818181818181818
70,5.6,2.5,3.9,1.1,Iris-versicolor,3.545454545454545,2.2399999999999998
71,5.9,3.2,4.8,1.8,Iris-versicolor,2.6666666666666665,1.84375
72,6.1,2.8,4.0,1.3,Iris-versicolor,3.0769230769230766,2.1785714285714284
73,6.3,2.5,4.9,1.5,Iris-versicolor,3.266666666666667,2.52
74,6.1,2.8,4.7,1.2,Iris-versicolor,3.916666666666667,2.1785714285714284
75,6.4,2.9,4.3,1.3,Iris-versicolor,3.3076923076923075,2.206896551724138
76,6.6,3.0,4.4,1.4,Iris-versicolor,3.1428571428571432,2.1999999999999997
77,6.8,2.8,4.8,1.4,Iris-versicolor,3.428571428571429,2.428571428571429
78,6.7,3.0,5.0,1.7,Iris-versicolor,2.9411764705882355,2.2333333333333334
79,6.0,2.9,4.5,1.5,Iris-versicolor,3.0,2.0689655172413794
80,5.7,2.6,3.5,1.0,Iris-versicolor,3.5,2.1923076923076925
81,5.5,2.4,3.8,1.1,Iris-versicolor,3.454545454545454,2.291666666666667
82,5.5,2.4,3.7,1.0,Iris-versicolor,3.7,2.291666666666667
83,5.8,2.7,3.9,1.2,Iris-versicolor,3.25,2.148148148148148
84,6.0,2.7,5.1,1.6,Iris-versicolor,3.1874999999999996,2.222222222222222
85,5.4,3.0,4.5,1.5,Iris-versicolor,3.0,1.8
86,6.0,3.4,4.5,1.6,Iris-versicolor,2.8125,1.7647058823529411
87,6.7,3.1,4.7,1.5,Iris-versicolor,3.1333333333333333,2.161290322580645
88,6.3,2.3,4.4,1.3,Iris-versicolor,3.3846153846153846,2.739130434782609
89,5.6,3.0,4.1,1.3,Iris-versicolor,3.1538461538461533,1.8666666666666665
90,5.5,2.5,4.0,1.3,Iris-versicolor,3.0769230769230766,2.2
91,5.5,2.6,4.4,1.2,Iris-versicolor,3.666666666666667,2.1153846153846154
92,6.1,3.0,4.6,1.4,Iris-versicolor,3.2857142857142856,2.033333333333333
93,5.8,2.6,4.0,1.2,Iris-versicolor,3.3333333333333335,2.230769230769231
94,5.0,2.3,3.3,1.0,Iris-versicolor,3.3,2.173913043478261
95,5.6,2.7,4.2,1.3,Iris-versicolor,3.230769230769231,2.074074074074074
96,5.7,3.0,4.2,1.2,Iris-versicolor,3.5000000000000004,1.9000000000000001
97,5.7,2.9,4.2,1.3,Iris-versicolor,3.230769230769231,1.9655172413793105
98,6.2,2.9,4.3,1.3,Iris-versicolor,3.3076923076923075,2.137931034482759
99,5.1,2.5,3.0,1.1,Iris-versicolor,2.727272727272727,2.04
100,5.7,2.8,4.1,1.3,Iris-versicolor,3.1538461538461533,2.035714285714286
101,6.3,3.3,6.0,2.5,Iris-virginica,2.4,1.9090909090909092
102,5.8,2.7,5.1,1.9,Iris-virginica,2.6842105263157894,2.148148148148148
103,7.1,3.0,5.9,2.1,Iris-virginica,2.8095238095238098,2.3666666666666667
104,6.3,2.9,5.6,1.8,Iris-virginica,3.1111111111111107,2.1724137931034484
105,6.5,3.0,5.8,2.2,Iris-virginica,2.6363636363636362,2.1666666666666665
106,7.6,3.0,6.6,2.1,Iris-virginica,3.1428571428571423,2.533333333333333
107,4.9,2.5,4.5,1.7,Iris-virginica,2.6470588235294117,1.9600000000000002
108,7.3,2.9,6.3,1.8,Iris-virginica,3.5,2.5172413793103448
109,6.7,2.5,5.8,1.8,Iris-virginica,3.222222222222222,2.68
110,7.2,3.6,6.1,2.5,Iris-virginica,2.44,2.0
111,6.5,3.2,5.1,2.0,Iris-virginica,2.55,2.03125
112,6.4,2.7,5.3,1.9,Iris-virginica,2.7894736842105265,2.3703703703703702
113,6.8,3.0,5.5,2.1,Iris-virginica,2.619047619047619,2.2666666666666666
114,5.7,2.5,5.0,2.0,Iris-virginica,2.5,2.2800000000000002
115,5.8,2.8,5.1,2.4,Iris-virginica,2.125,2.0714285714285716
116,6.4,3.2,5.3,2.3,Iris-virginica,2.3043478260869565,2.0
117,6.5,3.0,5.5,1.8,Iris-virginica,3.0555555555555554,2.1666666666666665
118,7.7,3.8,6.7,2.2,Iris-virginica,3.0454545454545454,2.0263157894736845
119,7.7,2.6,6.9,2.3,Iris-virginica,3.0000000000000004,2.9615384615384617
120,6.0,2.2,5.0,1.5,Iris-virginica,3.3333333333333335,2.727272727272727
121,6.9,3.2,5.7,2.3,Iris-virginica,2.4782608695652177,2.15625
122,5.6,2.8,4.9,2.0,Iris-virginica,2.45,2.0
123,7.7,2.8,6.7,2.0,Iris-virginica,3.35,2.7500000000000004
124,6.3,2.7,4.9,1.8,Iris-virginica,2.7222222222222223,2.333333333333333
125,6.7,3.3,5.7,2.1,Iris-virginica,2.7142857142857144,2.0303030303030303
126,7.2,3.2,6.0,1.8,Iris-virginica,3.333333333333333,2.25
127,6.2,2.8,4.8,1.8,Iris-virginica,2.6666666666666665,2.2142857142857144
128,6.1,3.0,4.9,1.8,Iris-virginica,2.7222222222222223,2.033333333333333
129,6.4,2.8,5.6,2.1,Iris-virginica,2.6666666666666665,2.285714285714286
130,7.2,3.0,5.8,1.6,Iris-virginica,3.6249999999999996,2.4
131,7.4,2.8,6.1,1.9,Iris-virginica,3.2105263157894735,2.6428571428571432
132,7.9,3.8,6.4,2.0,Iris-virginica,3.2,2.0789473684210527
133,6.4,2.8,5.6,2.2,Iris-virginica,2.545454545454545,2.285714285714286
134,6.3,2.8,5.1,1.5,Iris-virginica,3.4,2.25
135,6.1,2.6,5.6,1.4,Iris-virginica,4.0,2.346153846153846
136,7.7,3.0,6.1,2.3,Iris-virginica,2.6521739130434785,2.566666666666667
137,6.3,3.4,5.6,2.4,Iris-virginica,2.3333333333333335,1.8529411764705883
138,6.4,3.1,5.5,1.8,Iris-virginica,3.0555555555555554,2.064516129032258
139,6.0,3.0,4.8,1.8,Iris-virginica,2.6666666666666665,2.0
140,6.9,3.1,5.4,2.1,Iris-virginica,2.5714285714285716,2.2258064516129035
141,6.7,3.1,5.6,2.4,Iris-virginica,2.3333333333333335,2.161290322580645
142,6.9,3.1,5.1,2.3,Iris-virginica,2.217391304347826,2.2258064516129035
143,5.8,2.7,5.1,1.9,Iris-virginica,2.6842105263157894,2.148148148148148
144,6.8,3.2,5.9,2.3,Iris-virginica,2.565217391304348,2.125
145,6.7,3.3,5.7,2.5,Iris-virginica,2.2800000000000002,2.0303030303030303
146,6.7,3.0,5.2,2.3,Iris-virginica,2.2608695652173916,2.2333333333333334
147,6.3,2.5,5.0,1.9,Iris-virginica,2.6315789473684212,2.52
148,6.5,3.0,5.2,2.0,Iris-virginica,2.6,2.1666666666666665
149,6.2,3.4,5.4,2.3,Iris-virginica,2.347826086956522,1.823529411764706
150,5.9,3.0,5.1,1.8,Iris-virginica,2.833333333333333,1.9666666666666668
